strain,temperature_C,medium,NaCl_pct,PCS_type,PCS_conc_pct,mu_max,lag_h,ymax,r2,se,experiment,species,growth,sqrt_mu_max
A_hydrophila,8,TSB,0.0,JJT01,0.13,0.016,35.96,,0.94,0.152,PCS_JJT01,A. hydrophila,Y,0.12649110640673517
A_dhakensis,8,TSB,0.0,JJT01,0.026,0.023,17.49,,0.99,0.065,PCS_JJT01,A. dhakensis,Y,0.15165750888103102
A_dhakensis,8,TSB,0.0,JJT01,0.13,0.016,84.83,,0.96,0.088,PCS_JJT01,A. dhakensis,Y,0.12649110640673517
A_caviae,8,TSB,0.0,JJT01,0.026,0.031,22.9,8.88,0.99,0.048,PCS_JJT01,A. caviae,Y,0.17606816861659008
A_caviae,8,TSB,0.0,JJT01,0.13,0.018,38.77,8.84,0.98,0.073,PCS_JJT01,A. caviae,Y,0.1341640786499874
A_hydrophila,4,TSB,0.0,,0.0,,,,,,Temperature,A. hydrophila,NG,
A_hydrophila,4,SJ,0.0,,0.0,,,,,,Temperature,A. hydrophila,NG,
A_dhakensis,4,TSB,0.0,,0.0,,,,,,Temperature,A. dhakensis,NG,
A_dhakensis,4,SJ,0.0,,0.0,,,,,,Temperature,A. dhakensis,NG,
A_caviae,4,TSB,0.0,,0.0,,,,,,Temperature,A. caviae,NG,
A_caviae,4,SJ,0.0,,0.0,,,,,,Temperature,A. caviae,NG,
A_caviae,8,SJ,0.0,,0.0,,,,,,Temperature,A. caviae,NG,
A_media,8,TSB,4.5,,0.0,,,,,,NaCl,A. media,NG,
A_bestiarum,8,TSB,4.5,,0.0,,,,,,NaCl,A. bestiarum,NG,
A_piscicola,8,TSB,4.5,,0.0,,,,,,NaCl,A. piscicola,NG,
A_salmonicida_SU2,8,TSB,4.5,,0.0,,,,,,NaCl,A. salmonicida SU2,NG,
A_salmonicida_Nr21,8,TSB,4.5,,0.0,,,,,,NaCl,A. salmonicida Nr.21,NG,
A_hydrophila,8,TSB,4.5,,0.0,,,,,,NaCl,A. hydrophila,NG,
A_dhakensis,8,TSB,4.5,,0.0,,,,,,NaCl,A. dhakensis,NG,
A_caviae,8,TSB,4.5,,0.0,,,,,,NaCl,A. caviae,NG,
A_media,8,TSB,6.0,,0.0,,,,,,NaCl,A. media,NG,
A_bestiarum,8,TSB,6.0,,0.0,,,,,,NaCl,A. bestiarum,NG,
A_piscicola,8,TSB,6.0,,0.0,,,,,,NaCl,A. piscicola,NG,
A_salmonicida_SU2,8,TSB,6.0,,0.0,,,,,,NaCl,A. salmonicida SU2,NG,
A_salmonicida_Nr21,8,TSB,6.0,,0.0,,,,,,NaCl,A. salmonicida Nr.21,NG,
A_hydrophila,8,TSB,6.0,,0.0,,,,,,NaCl,A. hydrophila,NG,
A_dhakensis,8,TSB,6.0,,0.0,,,,,,NaCl,A. dhakensis,NG,
A_caviae,8,TSB,6.0,,0.0,,,,,,NaCl,A. caviae,NG,
