model,target,held_out_strain,n_test,R2,MAE,RMSE
RandomForest,lag_h,A_dhakensis,9,0.8310251974267394,6.6173515454656675,10.314306802059312
RandomForest,lag_h,A_hydrophila,10,0.33489074113786754,13.436386972308034,21.61280707465288
RandomForest,lag_h,A_media,17,0.3530727585799547,13.478463718521743,22.908062377014943
RandomForest,lag_h,A_piscicola,19,0.2258044816607433,26.22080774698755,68.0123235670197
RandomForest,lag_h,A_salmonicida_Nr21,18,0.5522688186480289,10.928936373855839,15.848105053208778
RandomForest,lag_h,A_salmonicida_SU2,19,0.3965571370103561,19.13126681807862,42.6777807484719
XGBoost,lag_h,A_bestiarum,17,-0.18473859828848616,7.3225363969802855,14.247534663545279
XGBoost,lag_h,A_caviae,9,0.9188957058971138,3.813376688427395,5.588623260427287
XGBoost,lag_h,A_dhakensis,9,0.32694257990494124,13.38762844297621,20.585201850142514
XGBoost,lag_h,A_hydrophila,10,0.5647170666569957,9.792080423831939,17.484390589420425
XGBoost,lag_h,A_media,17,0.5638462067752217,11.083467763451969,18.809639164946546
XGBoost,lag_h,A_piscicola,19,0.8680990619101377,14.188613383644508,28.072832084209985
XGBoost,lag_h,A_salmonicida_Nr21,18,0.7944453584735631,8.018244596852197,10.738220430591243
XGBoost,lag_h,A_salmonicida_SU2,19,0.7803552055341083,12.352422921783045,25.748041940983793
GPR,lag_h,A_bestiarum,17,0.05032914971133684,7.430726155199342,12.75601458757876
GPR,lag_h,A_caviae,9,0.8869614793616145,4.617472846336321,6.5977543577887054
GPR,lag_h,A_dhakensis,9,0.4082844702915267,12.719211925116262,19.301255308478556
GPR,lag_h,A_hydrophila,10,0.5228195557587233,10.336369561743123,18.306528604851213
GPR,lag_h,A_media,17,0.5022329594745475,12.11250144651232,20.094338118941216
GPR,lag_h,A_piscicola,19,0.8685767447240873,15.13283859089362,28.02195271692946
GPR,lag_h,A_salmonicida_Nr21,18,0.7622378163524441,7.961419837585236,11.548885117623913
GPR,lag_h,A_salmonicida_SU2,19,0.762056323511832,13.979523179697761,26.799138561133823
RandomForest,ymax,A_bestiarum,17,-0.03312553317548339,0.16699415499076342,0.30788126987822123
RandomForest,ymax,A_caviae,8,-5.594931696679476,0.13159432659676784,0.13705929649155715
RandomForest,ymax,A_dhakensis,6,-0.6199676751807206,0.14409372534584838,0.1708798330556667
RandomForest,ymax,A_hydrophila,8,-0.18465679512583377,0.11218342794269098,0.12104843549056164
RandomForest,ymax,A_media,16,-1.2756733607079145,0.14754842201928609,0.16598153699454093
RandomForest,ymax,A_piscicola,18,0.2947848853740471,0.09601548970920416,0.11109124405620013
RandomForest,ymax,A_salmonicida_Nr21,17,0.12448767804354033,0.08085123146938562,0.10246107203242741
RandomForest,ymax,A_salmonicida_SU2,18,-1.0398569704735738,0.1555908952963397,0.17570709551387992
XGBoost,ymax,A_bestiarum,17,-0.06767251680187902,0.16403637605554894,0.3129866065543843
XGBoost,ymax,A_caviae,8,-6.141161767594729,0.1385632848739622,0.14262241399016934
XGBoost,ymax,A_dhakensis,6,-0.5885464839329473,0.14015696207682282,0.16921450993603182
XGBoost,ymax,A_hydrophila,8,-0.20725677628437889,0.11153689384460463,0.12219761557275748
XGBoost,ymax,A_media,16,-1.3120762946597129,0.14644492626190198,0.16730383630456333
XGBoost,ymax,A_piscicola,18,0.053427112629934936,0.09851495954725495,0.1287051884306775
XGBoost,ymax,A_salmonicida_Nr21,17,-0.06941901989208121,0.08259334339815037,0.11324048378533952
XGBoost,ymax,A_salmonicida_SU2,18,-1.1679924452185575,0.1594262101915149,0.18114165176732444
GPR,ymax,A_bestiarum,17,0.012217499299837509,0.16860893184998496,0.30104913636959274
GPR,ymax,A_caviae,8,-4.978049449513543,0.12374018879608384,0.13049176306897248
GPR,ymax,A_dhakensis,6,-0.6283377589912731,0.14250047059026638,0.17132071709462848
GPR,ymax,A_hydrophila,8,-0.0439016530397176,0.1026334650802434,0.11362991934800894
GPR,ymax,A_media,16,-1.2059471329155436,0.14302458871342538,0.163418932433971
GPR,ymax,A_piscicola,18,0.08300199473502878,0.10973854585807491,0.12667858971482535
GPR,ymax,A_salmonicida_Nr21,17,0.019349572707843432,0.08916595715029974,0.10843884298033749
GPR,ymax,A_salmonicida_SU2,18,-1.0634579712088326,0.15249689882203338,0.1767206316374748
